PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Sex_label,Pclass_ordinal,Title,FamilySize,IsAlone,FarePerPerson,AgeBin,Deck,Pclass_Sex,NameLength,FamilyId
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,,S,1,2.0,Mr,2,0,3.625,YoungAdult,Unknown,3_male,23,A/5 21171
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,66.3,C85,C,0,0.0,Mrs,2,0,33.15,Adult,C,1_female,51,PC 17599
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,,S,0,2.0,Miss,1,1,7.925,YoungAdult,Unknown,3_female,22,STON/O2. 3101282
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,0,0.0,Mrs,2,0,26.55,YoungAdult,C,1_female,44,113803
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,,S,1,2.0,Mr,1,1,8.05,YoungAdult,Unknown,3_male,24,373450
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,1,2.0,Mr,1,1,8.4583,,Unknown,3_male,16,330877
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,1,0.0,Mr,1,1,51.8625,Adult,E,1_male,23,17463
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S,1,2.0,Master,5,0,4.215,Child,Unknown,3_male,30,349909
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,,S,0,2.0,Mrs,3,0,3.7111,YoungAdult,Unknown,3_female,49,347742
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,C,0,1.0,Mrs,2,0,15.0354,Teen,Unknown,2_female,35,237736
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,0,2.0,Miss,3,0,5.566666666666666,Child,G,3_female,31,PP 9549
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,0,0.0,Miss,1,1,26.55,Adult,C,1_female,24,113783
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S,1,2.0,Mr,1,1,8.05,YoungAdult,Unknown,3_male,30,A/5. 2151
